Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2024,"MIL",162,2381,6170,177,777,742,217,0.096758508,0.236466774,0.154605263,0.305426356,0.248355263,0.325581395,0.402960526,0.3185303828066753,,103.74139307023601,19.711918486456852,47.23960154362979,10.658063815557398,27.2177293420333
2012,"ATL",162,2264,6126,149,700,660,101,0.092556317,0.210414626,0.141935483,0.295561616,0.24718894,0.319828722,0.389124423,0.3098454435699324,,92.32499694692358,7.1894044312648475,-48.899509360689734,121.45643239468336,27.123899853110586
2024,"PHI",162,2317,6166,198,784,750,148,0.083522542,0.222186182,0.167509938,0.305791313,0.257137694,0.325150382,0.424647632,0.3253225826517015,,108.07932101356622,10.094934151798952,69.5751572244445,-13.148687014356256,27.052018966596442
2013,"SFG",162,2396,6168,107,629,596,67,0.076037613,0.174773022,0.120857349,0.303696983,0.260446685,0.320222877,0.381304034,0.3085918007648963,,100.38191760634825,-4.080132054165006,-1.7069700097824163,66.73009776324034,27.0432592076536
2017,"CHC",162,2420,6283,223,822,785,62,0.098997294,0.222982651,0.18213246,0.30199795,0.255094614,0.337933247,0.437227074,0.3310095960170021,,101.4713639153504,-3.184446551837027,8.418674345605528,45.47394270822406,26.890268862275835
2023,"SEA",162,2391,6201,210,758,728,118,0.088372843,0.258506692,0.170363636,0.301288936,0.242181818,0.321336346,0.412545454,0.3192700611873955,,108.441176394451,-5.337963412515819,57.38077088163463,-1.49261714797467,26.800577349695782
2024,"SDP",162,2429,6103,190,760,726,120,0.075045059,0.176470588,0.156532755,0.295104895,0.263481722,0.324493493,0.420014477,0.32355958459673884,,111.06439086409858,4.635031709447503,85.38310410677671,-31.246110877022147,26.598710261758157
2024,"HOU",161,2336,6107,190,740,701,93,0.073358441,0.192565907,0.156600362,0.298812351,0.261844484,0.322278771,0.418444846,0.32096969490493266,,111.32507335989969,-12.761227682232857,66.15673030435202,-17.13240380701609,26.129004001984832
2015,"HOU",162,2333,6073,230,729,691,121,0.080026346,0.229211262,0.186847408,0.292010309,0.249679428,0.315188616,0.436526836,0.32461355251950785,,108.3534808187096,8.1340176560916,66.7471431761504,-19.609932507621124,26.06685157015405
2010,"SFG",162,2354,6143,162,697,660,55,0.079277226,0.178902816,0.151239068,0.292642924,0.257106413,0.32113419,0.408345481,0.31972408041905664,,98.23440330598096,-18.33901896001771,-31.572200783909793,94.62991128559224,26.019502733127176
2018,"TBR",162,2371,6195,150,716,664,128,0.08716707,0.224051654,0.147945206,0.317281163,0.258447488,0.333441453,0.406392694,0.32223107482693336,,106.63103320623136,8.465657751832623,57.40070536758586,-16.210305153217632,25.99673133564016
2014,"WSN",162,2265,6216,152,686,635,101,0.083172458,0.209781209,0.139841213,0.303125757,0.253157704,0.320987654,0.392998917,0.3167024837517711,,99.02067439551871,15.260692628799006,8.427395764295706,39.73583618178964,25.932259092591842
2013,"LAD",162,2336,6145,138,649,618,78,0.07746135,0.186493083,0.132762702,0.307638072,0.263522127,0.326086956,0.396284829,0.31704740867856845,,103.35719241454602,-7.973131680395454,14.714575099548309,40.50445310585201,25.91028401809591
2019,"ATL",162,2411,6302,249,855,824,89,0.098222786,0.232783243,0.194604317,0.304975509,0.257553956,0.336467963,0.452158273,0.3320723753981143,,100.97990784584125,9.332416619901778,16.66654498070105,48.37283447757363,25.84675251483751
2013,"OAK",162,2313,6209,186,767,725,74,0.092285392,0.189724593,0.164644086,0.289348549,0.25412063,0.32659987,0.418764716,0.32680814500210403,,108.04160812410417,9.992928389459848,66.15183492473153,-27.375770162791014,25.79450745518387
2024,"NYM",162,2404,6166,207,768,735,106,0.083360363,0.224132338,0.168784029,0.29062421,0.246279491,0.319083224,0.41506352,0.32010151067088355,,108.58091948070884,-7.850987186655402,55.4191289370456,-11.184557281434536,25.792867364532746
2023,"CHC",162,2328,6220,196,819,786,140,0.091639871,0.22363344,0.166606104,0.303099017,0.254178779,0.329840399,0.420784883,0.3257696674005622,,106.42692626876409,7.974038175307214,57.48288659661334,-10.479514479637146,25.768431300050466
2014,"SFG",162,2353,6087,132,665,636,56,0.070149498,0.204534253,0.13344197,0.303933253,0.254752851,0.310658722,0.388194821,0.3081091628384332,,99.24324880043524,0.5068645451683551,-5.127363914263396,55.12682300247252,25.705138671970516
2013,"ATL",162,2293,6133,181,688,656,64,0.088374368,0.225664438,0.152913067,0.299923293,0.248851314,0.321258027,0.401764381,0.3181445777603821,,101.51868715279058,-5.711387832649052,3.791470452422221,49.61903573421296,25.676104823968746
2017,"MIA",162,2399,6248,194,778,743,91,0.077784891,0.205185659,0.163334524,0.312694984,0.26722599,0.330858618,0.430560514,0.3245971734231373,,101.05127458579793,1.236531721369829,8.84314274762596,32.80511774867773,25.551715601519323
2018,"CHC",163,2490,6369,167,761,722,66,0.090438059,0.217930601,0.152027027,0.312515188,0.258357041,0.333175205,0.410384068,0.32064890146103076,,100.185167702934,-3.9228855088585988,-2.7656923424931747,55.95879077157588,25.55103016034473
